no;FileTrail Line_ID;Exploration Archives Line Name;Open Works LINE;SURVEY - for 3D lines
851;2001RM-0008T1-073;102T1-072;9306-86;
852;2001RM-0010T1-107;103R1-085;9310-86;
853;2001RM-0010T1-107;103T1-084;86-JK-17;
854;2001RM-0010T1-107;104T1-086;86-JK-18;
855;2001RM-0010T1-107;106T1-061;86-JK-19;
856;2001RM-0010T1-107;107T1-060;86-JK-20;
857;2001RM-0010T1-107;118T1-097;86-JK-21;
858;2001RM-0010T1-107;200R1-063;86-JK-22;
859;2001RM-0011T1-048;201R1-031;86-JK-23;
860;2001RM-0012T1-011;201T1-030;86-JK-24;
861;2001RM-0012T1-011;202T1-064;MO-01-117;
862;2001RM-0012T1-011;203R1-014;MO-01-200;
863;2001RM-0012T1-011;203T1-010;MO-01-201;
864;2001RM-0012T1-011;204T1-066;MO-01-202;
865;2001RM-0012T1-011;208T1-059;ROCM98-05;
866;2001RM-0014T1-106;210R1-094;PC-9230-86;
867;2001RM-0014T1-106;212T1-019;PC-9232-86;
868;2001RM-0014T1-106;214T1-017;85-AK-09;
869;2001RM-0014T1-106;251T1-032;85-AK-09;
870;2001RM-0014T1-106;253T1-049;85-AK-10;
871;2001RM-0014T1-106;255T1-051;85-AK-10;
872;2001RM-0014T1-106;257T1-050;85-AK-11;
873;86-9250;109T1-057;75042;
874;86-9250;110T1-028;75046;
875;86-9250;108T1-058;75026;
876;86-9260;111T1-027;75029;
877;86-9260;112T1-018;mt-03;
878;86-9260;113T1-016;mt-05_2;
879;86-9260;114T1-005;1206-BJ2;
880;2001RM-0002T1-007;115T1-004;1218-BJ2;
881;2001RM-0002T1-007;005R1-034;98KT-21;
882;2001RM-0002T1-007;005T1-009;98KT-22;
883;2001RM-0002T1-007;007R1-101;98KT-23;
884;2001RM-0002T1-007;007R2-102;98KT-23;
885;2001RM-0002T1-007;007T1-033;85-BZ-22;
886;2001RM-0002T1-007;008R1-100;85-BZ-22;
887;2001RM-0004T1-002;008T1-073;85-BZ-23;
888;2001RM-0004T1-002;010R1-108;85-BZ-23;
889;2001RM-0004T1-002;010T1-107;85-MS-13;
890;2001RM-0004T1-002;279T1-091;85-MS-14;
891;2001RM-0004T1-002;271T1-036;GR-13EXT;
892;2001RM-0004T1-002;273T1-039;GR-14;
893;2001RM-0004T1-002;275T1-087;1764;
894;2001RM-0005T1-009;277T1-045;1768;
895;2001RM-0005T1-009;281T1-044;1768;
